S.No,Name of City,State,
1,Port Blair,Andaman and Nicobar Islands,"'Assam',
'Andhra Pradesh',
'Odisha',
'Punjab',
'Delhi',
'Gujarat',
'Karnataka',
'Haryana',
'Rajasthan',
'Himachal Pradesh',
'Uttarakhand',
'Jharkhand',
'Chhattisgarh',
'Kerala',
'Tamil Nadu',
'Madhya Pradesh',
'West Bengal',
'Bihar',
'Maharashtra',
'Uttar Pradesh',
'Chandigarh',
'Telangana',
'Jammu and Kashmir',
'Tripura',
'Meghalaya',
'Goa',
'Arunachal Pradesh',
'Manipur',
'Mizoram',
'Sikkim',
'Puducherry',
'Nagaland',
'Andaman and Nicobar Islands',
'Dadra and Nagar Haveli',
'Daman and Diu',
'Lakshadweep'"
2,Visakhapatnam,Andhra Pradesh,
3,Vijayawada,Andhra Pradesh,
4,Guntur,Andhra Pradesh,
5,Nellore,Andhra Pradesh,
6,Kurnool,Andhra Pradesh,
7,Rajahmundry,Andhra Pradesh,
8,Kakinada,Andhra Pradesh,
9,Tirupati,Andhra Pradesh,
10,Anantapur,Andhra Pradesh,
11,Kadapa,Andhra Pradesh,
12,Vizianagaram,Andhra Pradesh,
13,Eluru,Andhra Pradesh,
14,Ongole,Andhra Pradesh,
15,Nandyal,Andhra Pradesh,
16,Machilipatnam,Andhra Pradesh,
17,Adoni,Andhra Pradesh,
18,Tenali,Andhra Pradesh,
19,Chittoor,Andhra Pradesh,
20,Hindupur,Andhra Pradesh,
21,Proddatur,Andhra Pradesh,
22,Bhimavaram,Andhra Pradesh,
23,Madanapalle,Andhra Pradesh,
24,Guntakal,Andhra Pradesh,
25,Dharmavaram,Andhra Pradesh,
26,Gudivada,Andhra Pradesh,
27,Srikakulam,Andhra Pradesh,
28,Narasaraopet,Andhra Pradesh,
29,Rajampet,Andhra Pradesh,
30,Tadpatri,Andhra Pradesh,
31,Tadepalligudem,Andhra Pradesh,
32,Chilakaluripet,Andhra Pradesh,
33,Yemmiganur,Andhra Pradesh,
34,Kadiri,Andhra Pradesh,
35,Chirala,Andhra Pradesh,
36,Anakapalle,Andhra Pradesh,
37,Kavali,Andhra Pradesh,
38,Palacole,Andhra Pradesh,
39,Sullurpeta,Andhra Pradesh,
40,Tanuku,Andhra Pradesh,
41,Rayachoti,Andhra Pradesh,
42,Srikalahasti,Andhra Pradesh,
43,Bapatla,Andhra Pradesh,
44,Naidupet,Andhra Pradesh,
45,Nagari,Andhra Pradesh,
46,Gudur,Andhra Pradesh,
47,Vinukonda,Andhra Pradesh,
48,Narasapuram,Andhra Pradesh,
49,Nuzvid,Andhra Pradesh,
50,Markapur,Andhra Pradesh,
51,Ponnur,Andhra Pradesh,
52,Kandukur,Andhra Pradesh,
53,Bobbili,Andhra Pradesh,
54,Rayadurg,Andhra Pradesh,
55,Samalkot,Andhra Pradesh,
56,Jaggaiahpet,Andhra Pradesh,
57,Tuni,Andhra Pradesh,
58,Amalapuram,Andhra Pradesh,
59,Bheemunipatnam,Andhra Pradesh,
60,Venkatagiri,Andhra Pradesh,
61,Sattenapalle,Andhra Pradesh,
62,Pithapuram,Andhra Pradesh,
63,Palasa Kasibugga,Andhra Pradesh,
64,Parvathipuram,Andhra Pradesh,
65,Macherla,Andhra Pradesh,
66,Gooty,Andhra Pradesh,
67,Salur,Andhra Pradesh,
68,Mandapeta,Andhra Pradesh,
69,Jammalamadugu,Andhra Pradesh,
70,Peddapuram,Andhra Pradesh,
71,Punganur,Andhra Pradesh,
72,Nidadavole,Andhra Pradesh,
73,Repalle,Andhra Pradesh,
74,Ramachandrapuram,Andhra Pradesh,
75,Kovvur,Andhra Pradesh,
76,Tiruvuru,Andhra Pradesh,
77,Uravakonda,Andhra Pradesh,
78,Narsipatnam,Andhra Pradesh,
79,Yerraguntla,Andhra Pradesh,
80,Pedana,Andhra Pradesh,
81,Puttur,Andhra Pradesh,
82,Renigunta,Andhra Pradesh,
83,Rajam,Andhra Pradesh,
84,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,
85,Naharlagun,Arunachal Pradesh,
86,Pasighat,Arunachal Pradesh,
87,Guwahati,Assam,
88,Silchar,Assam,
89,Dibrugarh,Assam,
90,Nagaon,Assam,
91,Tinsukia,Assam,
92,Jorhat,Assam,
93,Bongaigaon City,Assam,
94,Dhubri,Assam,
95,Diphu,Assam,
96,North Lakhimpur,Assam,
97,Tezpur,Assam,
98,Karimganj,Assam,
99,Sibsagar,Assam,
100,Goalpara,Assam,
101,Barpeta,Assam,
102,Lanka,Assam,
103,Lumding,Assam,
104,Mankachar,Assam,
105,Nalbari,Assam,
106,Rangia,Assam,
107,Margherita,Assam,
108,Mangaldoi,Assam,
109,Silapathar,Assam,
110,Mariani,Assam,
111,Marigaon,Assam,
112,Patna,Bihar,
113,Gaya,Bihar,
114,Bhagalpur,Bihar,
115,Muzaffarpur,Bihar,
116,Darbhanga,Bihar,
117,Arrah,Bihar,
118,Begusarai,Bihar,
119,Chhapra,Bihar,
120,Katihar,Bihar,
121,Munger,Bihar,
122,Purnia,Bihar,
123,Saharsa,Bihar,
124,Sasaram,Bihar,
125,Hajipur,Bihar,
126,Dehri-on-Sone,Bihar,
127,Bettiah,Bihar,
128,Motihari,Bihar,
129,Bagaha,Bihar,
130,Siwan,Bihar,
131,Kishanganj,Bihar,
132,Jamalpur,Bihar,
133,Buxar,Bihar,
134,Jehanabad,Bihar,
135,Aurangabad,Bihar,
136,Lakhisarai,Bihar,
137,Nawada,Bihar,
138,Jamui,Bihar,
139,Sitamarhi,Bihar,
140,Araria,Bihar,
141,Gopalganj,Bihar,
142,Madhubani,Bihar,
143,Masaurhi,Bihar,
144,Samastipur,Bihar,
145,Mokameh,Bihar,
146,Supaul,Bihar,
147,Dumraon,Bihar,
148,Arwal,Bihar,
149,Forbesganj,Bihar,
150,BhabUrban Agglomeration,Bihar,
151,Narkatiaganj,Bihar,
152,Naugachhia,Bihar,
153,Madhepura,Bihar,
154,Sheikhpura,Bihar,
155,Sultanganj,Bihar,
156,Raxaul Bazar,Bihar,
157,Ramnagar,Bihar,
158,Mahnar Bazar,Bihar,
159,Warisaliganj,Bihar,
160,Revelganj,Bihar,
161,Rajgir,Bihar,
162,Sonepur,Bihar,
163,Sherghati,Bihar,
164,Sugauli,Bihar,
165,Makhdumpur,Bihar,
166,Maner,Bihar,
167,Rosera,Bihar,
168,Nokha,Bihar,
169,Piro,Bihar,
170,Rafiganj,Bihar,
171,Marhaura,Bihar,
172,Mirganj,Bihar,
173,Lalganj,Bihar,
174,Murliganj,Bihar,
175,Motipur,Bihar,
176,Manihari,Bihar,
177,Sheohar,Bihar,
178,Maharajganj,Bihar,
179,Silao,Bihar,
180,Barh,Bihar,
181,Asarganj,Bihar,
182,Chandigarh,Chandigarh,
183,Raipur,Chhattisgarh,
184,Bhilai Nagar,Chhattisgarh,
185,Korba,Chhattisgarh,
186,Bilaspur,Chhattisgarh,
187,Durg,Chhattisgarh,
188,Rajnandgaon,Chhattisgarh,
189,Jagdalpur,Chhattisgarh,
190,Raigarh,Chhattisgarh,
191,Ambikapur,Chhattisgarh,
192,Mahasamund,Chhattisgarh,
193,Dhamtari,Chhattisgarh,
194,Chirmiri,Chhattisgarh,
195,Bhatapara,Chhattisgarh,
196,Dalli-Rajhara,Chhattisgarh,
197,Naila Janjgir,Chhattisgarh,
